Word,Date,Notes Citation,Green Citation,Citation
jewel,1660,,C. Cotton Valiant Knight 13,"Here, take my Jewell, and my Treasure, And exercise your cruell Pleasure."
worm,1660,,C. Cotton Valiant Knight 12,Must my dear Worm and I be parted?
pego,1660,,C. Cotton Valiant Knight 12,"To one Don Fabro then he marches, / Showing him what he got i’ th’ Arches, / While scalded Pego linen starches."
trapstick,1675,,C. Cotton Scoffer Scoff’d (1765) 283,"Well, well! but he were best to take heed / How he attacks my Maidenhead: / His mighty Trapstick cannot scare us."
tantrum,1675,,C. Cotton Scoffer Scoff’d (1765) 282,"Twixt some twelve and one o’clock, He tilts his Tantrum at my Nock."
drum,1675,,C. Cotton Scoffer Scoff’d (1765) 238,"He beat (oh, never such a Drum!) / A Point of War upon her Bum."
lance,1675,,C. Cotton Scoffer Scoff’d (1765) 212,"And Mankind must in Darkness languish, / Whilst he his bawdy Launce does brandish."
key,1564,,Buckley ‘Oxford Libell’ in Arundel Ms. II 284,There is a key of longe time knowen / it cannot ruste y’ vse is greate / Yeat entreth in where seed is sowen / in everie locke it playeth feate.
meat,1564,,Buckley ‘Oxford Libell’ Arundel Ms. II 285,The baker he did cram the cockes / with bread well baked for y’ nonce / and she her mealy mouth well stoppes / w’h pleasinge meate quite free from bones.
flute,1670,,Broadside in Adlard Fruit of That Forbidden Tree (1975) 89,She will handle a flute / Better far than a lute / And make what was hard to grow tender.
flute,1767,,Bridges Homer Travestie (2nd edn) I 107,Bridges Homer Travestie (2nd edn) I 107
oyster,1762,,Bridges Homer Travestie (1764) II 63,"But by the help of cod and oysters, / He quickly tam’d this crew of roysters."
weapon,1762,,Bridges Homer Travestie (1764) I 189:,"With nimble bum, or nimbler wrist, / She guides his weapon where she lift; / Nay more, a touch of her soft hand, / If fallen down, will make him stand."
middle leg,1762,,Bridges Homer Travestie (1764) I 182,"And to himself, he felt as if / His middle parts were growing stiff"
cods,1762,,Bridges Homer Travestie (1764) I 125,"Tho by thy help, I think ’tis odds, / But yet I singe the rascal’s c—ds."
pintle,1762,,Bridges Homer Travestie (1764) I 124,"Shall Priam’s lecherous son, that s—s / By dozens other people’s wives, / Be left to make his p-t-le swell in / The heavenly — of beauteous Hellen?"
sconce,1797,,Bridges Burlesque Homer (4th edn) II 100,His whoring sconce / Can only trim us one at once.
staff,1797,,Bridges Burlesque Homer (4th edn) I 265,"[She] Stopp’d his long staff in mid career, / And made it spit its venom there."
weapon,1797,,Bridges Burlesque Homer (4th edn) I 263,"All day let Mars and Pallas fight, / You weapons handle best at night."
ware,1797,,Bridges Burlesque Homer (4th edn) I 188,"And some sad dog, thy recent tomb, / Lug out his ware and piss upon."
affair,1797,,Bridges Burlesque Homer (4th edn) I 18,"Besides, the wench does all things neatly, / And handles my affairs completely."
silent flute,1797,,Bridges Burlesque Homer (4th edn) I 163,Hoping a tune o th’ silent flute / Would keep the scolding baggage mute.
ware,1772,,Bridges Burlesque Homer (3rd edn) 60,Our money spent and breeks so torn [...] I’m d---d hard switch’d to hide my ware.
sceptre,1772,,Bridges Burlesque Homer (3rd edn) 47,"Now night came on, the thund’rer led / His helpmate to her wicker bed; / There they agreed, and where’s the wonder, / His sceptre rais’d she soon knock’d under."
sceptre,1772,,Bridges Burlesque Homer (3rd edn) 47,"Now night came on, the thund’rer led / His helpmate to her wicker bed; / There they agreed, and where’s the wonder, / His sceptre rais’d she soon knock’d under."
hornpipe,1772,,Bridges Burlesque Homer (3rd edn) 243,"[He] took the girl, and buckl’d to’t, / And fairly danc’d his hornpipe out."
staff,1772,,Bridges Burlesque Homer (3rd edn) 194,"venus with a rueful face / Was looking serious at the place, / Where diomed had run his staff in."
prick,1772,,Bridges Burlesque Homer (3rd edn) 194,"You are in all degrees, / A stranger to such pricks as these."
trapstick,1772,,Bridges Burlesque Homer (3rd edn) 188,With his trapstick on the cock / Ready to give her a good knock.
tool,1772,,Bridges Burlesque Homer (3rd edn) 188,And with his tool the goddess enter’d.
tail,1772,,Bridges Burlesque Homer (3rd edn) 103,"We are all mortal men and frail, / And oft are guided by the tail."
battering piece,1860,,Boudoir ‘The Three Chums’ in Pearsall (1969) 379,The battering ram of love had to be vigorously applied before a breach was made sufficient to effect a lodgement.
ballocks,1556,,"Booke of hauking, huntyng and fysshyng",Also geue her the hitballockes of a bucke as hote as they be kut out.
flute,1819,,Beppo in London liv,"It was a patent Flute, and not on earth A finer shape’d one ever had been shaken – Besides ’twas perfect in the bottom keys, Which all musicians know are meant for C’s!"
Cupid's sword,1781,,Belle’s Stratagem 68,Cupid’s sword is stain’d with crystal gore.
watch (chain) and seals,1781,,Belle’s Stratagem 3,"Maas Ogul’s fille de chambre, Riggeltail, had a very grand design to ravish me of [...] my vatch, mi Lord, and de two stones dat hang to it — de seals."
seal,1781,,Belle’s Stratagem 3,"Maas Ogul’s fille de chambre, Riggeltail, had a very grand design to ravish me of [...] my vatch, mi Lord, and de two stones dat hang to it — de seals."
tail,1781,,Belle’s Stratagem 29,"Hardy: They are very pretty creatures — they have such neat little short tails! Letitia: Short tails! — I don’t at all admire short tails!. Flutter: My dear Letty, short tails are quite the ton amongst the men of fashion! [...] Letitia: But, My Lord, do any one of the Ladies of Fashion admire them?"
key,1781,,Belle’s Stratagem 28,"If I had an amour, it should at least be with one whose amorous cabinet had never been opened by any other key of Cupid than my own."
bayonet,1781,,Belle’s Stratagem 24,Show me tghe amorous hero that will charge with love’s fix’d bayonet [...] led on by the gallant General Cupid.
pen,1781,,Belle’s Stratagem 17,"My Letty would never sacrifice her pretty little Mount Pleasant to any of those news-paper rattlesnakes, if it was n‘t to soften their venemous pens."
member,1781,,Belle’s Stratagem 13,Mrs Racket: Here’s to every upright member that enters the House of Commons!
pestle,1676,,Behn Town-Fop I ii,Thou Knight of the Burning Pestle thou.
knick-knack,1686,,Behn Lucky Chance V iv,"Some rich Commodities, I am sure, and some fine Knick-knack will fall to thy share."
pike,1621,,Beaumont & Fletcher Wild-Goose-Chase III i,"Give me a man brings Mettle. Brings substance with him, needs no Brothes to Lare him [...] Give me the puissant Pike, take you the small Shot."
engine,1621,,Beaumont & Fletcher Wild-Goose-Chase III i,"ros.: Bless your manhood: They say ye are a Gentleman of Action, A fare accomplishe’d man; and a rare Engineer. [...] mir.: Yes forsooth; I have a speedy trick: please you to try it: My Engine will dispatch ye instantly."
weapon,1625,,Beaumont & Fletcher Love’s Cure II ii,"Remember, Mistress, Nature hath given you a Sheath only, to signifie Women are to put up Men’s Weapons."
pole,1625,,Beaumont & Fletcher Love’s Cure II ii,"If any foolish Hot Motions should chance to rise in the Horizon, Under your Equinoctial there, qualifie it as well as You can, for I fear the Elevation of your Pole will Not agree with the Horoscope of her Constitution."
needle,1625,,Beaumont & Fletcher Love’s Cure I ii,"Why my young Master or Mistress, Madam or Don, or what you will, what have you to do with [...] pricking on a Clout all Day? You have a better Needle, I know, and might make better Work, if you had the grace to use it."
prick,1607,,Beaumont & Fletcher Knight of the Burning Pestle V iii,"When the yong man’s prick’s in, vp go the maidens heeles."
curtal,1613,,Beaumont & Fletcher Coxcomb II ii,I’m glad to hear your curtal’s grown so lusty; / He was dry-founder’d t’other day; weehee.
cod-piece,1613,,Beaumont & Fletcher Coxcomb II ii,"Cool / Your codpiece, rogue! or I’ll clap a spell upon ’t."
plough,1613,,Beaumont & Fletcher Coxcomb I iii,"But these women, / When they are once thirteen, God speed the plough!"
cods,1622,,Beaumont & Fletcher Beggar’s Bush III i,"I grip’d him then speedily, and I whipt off his Cods."
pestle,1607,,Beaumont & Fletcher [title],Knight of the Burning Pestle.
bobbles,1888,,"Barrère & Leland Dict. of Sl., Jargon and Cant.",
knocker,1889,,"Barrère & Leland Dict. of Sl., Jargon and Cant.",
knackers,1889,,"Barrère & Leland Dict. of Sl., Jargon and Cant I 523/2","Knackers [...] (Butchers, &c.), the testicles, also ‘knuckers’."
yard,1790,,Banquet of Wit 14,"Gentlemen [...] our yards dont seem to stand well this morning; we must have them braced up, and not keep them hanging in this manner."
fiddlestick,1790,,Banquet of Wit 107,"Old Orpheus play’d so well he mov’d Old Nick, / While thou mov’st nothing but thy fiddlestick."
handful,1790,,Banquet of Wit 103,"Sentiments and Toasts [...] The female reaper, that never leaves a handful standing."
dagger,1790,,Banquet of Wit 102,Sentiments and Toasts [...] Adam’s dagger.
purse,1790,,Banquet of Wit 101,Sentiments and Toasts [...] May he never have an empty purses who spends freely on the ladies.
blind boy,1790,,Banquet of Wit 101,Sentiments and Toasts [...] The blind fellow who enters into perilous engagements and is best pleased when he gets his head broke.
stiff stander,1650,,ballad in Wardroper (1969) 194,For now I am stiff standing / And Cupid with his dart hath me at his commanding.
pintle,1615,,ballad in Wardroper (1969) 171,"Underneath this stone and brick / Lies one that once loved well a prick. / All you that pass by, do her this honour: / Pull out your pintles and piss upon her."
lance,1615,,ballad in Wardroper (1969) 167,Wasse Cupid pricke her with her [i.e. his] launce.
roger,1737,,Bailey Universal Etym. Eng. Dict,"Roger, [...] a Man’s Yard."
knocker,1793,,Bacchanalian Mag. 98,Original and selected Toasts and Sentiments [...] The door of the World and the kocker [sic] thereto.
clock weights,1793,,Bacchanalian Mag. 97,The letcherous weight of his b—s beat time
instrument,1793,,Bacchanalian Mag. 95,"As for poor Catgut’s instrument, she much the same did soften — /’Cause she is apt, as I have heard, to cry encore too often."
brush,1793,,Bacchanalian Mag. 9,"I often repeat these sweet visits to Kate / [...] / [W]e’ll brush it about, / At morn, noon and night, ’till the brush is worn out."
langolee,1793,,Bacchanalian Mag. 77,"Ye wives with bad husbands, ye maids without any, / Make no more delay but come hither to me; / Your ills I’ll remove, let their number be many, / Your ailments dispel, with my Langolee."
tail,1793,,Bacchanalian Mag. 74,Original and selected Toasts and Sentiments [...] The Eye that weeps most at a moving tale.
poker,1793,,Bacchanalian Mag. 74,Original and selected Toasts and Sentiments [...] A bob-wig with a poker in it.
button,1793,,Bacchanalian Mag. 74,Original and selected Toasts and Sentiments [...] May a good button-hole never want a stout button.
pointer,1793,,Bacchanalian Mag. 72,"Ye Fowlers who eager at Partridges aim, / Don’t mark the maim’d Covey, but mind better Game; / ’Tis Beauty’s the Sport to repay Sportsmen’s trouble, / And there may our Pointers stand stiff in the Stubble."
key,1793,,Bacchanalian Mag. 67,"Maids, wives, and widows, are all pleas’d, / If once they can posess this key."
wand,1793,,Bacchanalian Mag. 59,"He took his white wand in his hand, / And laid her on her back."
club,1793,,Bacchanalian Mag. 50,Original and selected Toasts and Sentiments [...] May the Cushion of Life be thumped by the Club of Vigour.
one-eyed sportsman,1793,,Bacchanalian Mag. 26,Original and selected Toasts and sentiments [...] The one-eye’dSportsman.
plough,1793,,Bacchanalian Mag. 25,"Good premiums the Fair do allow, / If you rid them of sorrow and care, / By driving the Natural Plough."
stiff and stout,1793,,Bacchanalian Mag. 117,"But Roger and master she soon tired out, / And Dolly still panted for — stiff and stout."
peg,1793,,Bacchanalian Mag. 111,He with his peg stopt up her vent.
man Thomas,1793,,Bacchanalian Mag. 102,"John with shame and wonder, / Felt something in his breeches grow / [...] /That stronger grew, the buttons flew — / And out came John’s Man Thomas!"
pego,1793,,Bacchanalian Mag. 100,"Who’d have thought it of the jade, / Tho’ her c—t was sore, Sir; / When poor p—o drops his head, / Wou’d call out for more, Sir!"
whirligigs,1698,,B.E. Dict. Canting Crew n.p.,Whirlegigs Testicles.
roger,1698,,B.E. Dict. Canting Crew n.p.,"Roger, [...] a Man’s Yard."
nut,1698,,B.E. Dict. Canting Crew n.p.,"Shanker, a little Scab or Pox on the Nut or Glans of the Yard."
member,1725,,B. Mandeville An Essay upon Whoring iv,"The Gods [...] have given us one disobedient and unruly Member, which, [...] grows wild and furious, till [...] he has plentifully besprinkled and bedewed the Bottom of the Womb."
coral branch,1725,,B. Mandeville An Essay upon Whoring iii,This Branch of Immorality has grown under your Hands.
spindle,1697,,Art of Cuckoldom in C.C. Mish Restoration Prose Fiction (1970) 195,"If I understand a Spindle from a Wheel, or a Pestle from a Mortar [...] I tell you once more, this impudent She Cozen of yours, is a downright he Rogue, Madam."
pestle,1697,,Art of Cuckoldom in C.C. Mish Restoration Prose Fiction (1970) 195,"If I understand a Spindle from a Wheel, or a Pestle from a Mortar [...] I tell you once more, this impudent She Cozen of yours, is a downright he Rogue, Madam."
meat,1673,,Arrowsmith Reformation II i,"May thou always gape for meat, and it be death for any man to feed you."
purse,1682,,A. Radcliffe ‘Call to the Guard’ in Dryden Miscellaneous Poems (1716) 104,"With the Plague in the Purse, and the Pox in the Breeches."
tool,1682,,A. Radcliffe ‘Call to the Guard’ in Dryden Miscellaneous Poems (1716) 103,"With trusty Pike and Gun, and the other rusty Tool."
beef,1878,,A. Lloyd [perf. Arthur Lloyd] ‘American Beef’ 🎵,"He tempted my love with American Beef, / And she thought it was nicer than mine."
meat,1878,,A. Lloyd [perf. Arthur Lloyd] ‘American Beef’,🎵 And they're certain to go where they know they can get / The best and the cheapest of meat.
Master John Goodfellow,1904,,A. Crowley Snowdrops from a Curate’s Garden 37,The German Ambassador [...] had ventured to make his enquiries with his Master John Thursday.
marrowbone and cleaver,1904,,A. Crowley Snowdrops from a Curate’s Garden 36,"It was solid marrow-bone she wanted, and tons of it at that."
chink-stopper,1904,,A. Crowley Snowdrops from a Curate’s Garden 36,The slippery and lax bung-hole of the flatulent monarch was ill-suited to my boyish chink-stopper.
bean-tosser,1904,,A. Crowley Snowdrops from a Curate’s Garden 36,The P....e of W...s [...] was lifting for the final effort his fantastically-tattooed bean-tosser upon the stupendous crinkum-crankum of the Imperial fuckstress.
hanger,1904,,A. Crowley Snowdrops from a Curate’s Garden 33,I banged with my hangers upon the perineum.
arbor vitae,1904,,A. Crowley Snowdrops from a Curate’s Garden 32,"My own modest arbor-vitae, though, as you may guess, shared no such disabilities."
creamstick,1904,,A. Crowley Snowdrops from a Curate’s Garden 27,The engaging animal [...] exposed a superb and succulent cream-stick of some fourteen inches in length.
wimble,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,"Octavius, whose wimble, though vigorous, was minute."
tug-mutton,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,Laura had his tug-mutton to her own cheek.
man root,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,"Alec had his middle finger in Ada’s eel-pot, with Bertie’s man-root caught in the crook of his elbow."
flip-flap,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,"The amorous and quick-witted lad, placing his feet together, made a capital catch-‘em-alive-o for his horny flip-flap."
drumstick,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,Harry and Isaac had their drumsticks in his mouth; Katherine got a nose-fuck.
best leg of three,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,Dick’s best leg of three vibrated. Clara’s medlar got a fair share of fun out of his knuckles.
atheneum,1904,,A. Crowley Snowdrops from a Curate’s Garden 25,Charles’ Athenaeum was held firmly in the palm of his hand by his thumb.
pillicock,1904,,A. Crowley Snowdrops from a Curate’s Garden 24,"Let us lerricompoop! said Wilhelmina, in a voice thick with lust and marred by Martin’s pillicock, which was tickling her tonsils."
touch-trap,1904,,A. Crowley Snowdrops from a Curate’s Garden 23,"Enough! I cried, and wedged a lusty turd against his tapering touch-trap."
quimstake,1904,,A. Crowley Snowdrops from a Curate’s Garden 23,With a swift corkscrew motion of his masterly quim-stake he withdrew the opposition.
bald-headed hermit,1904,,A. Crowley Snowdrops from a Curate’s Garden 23,Take out that bald-headed hermit! (he interrupted himself) Whack it up! Wollop it in!
meat skewer,1904,,A. Crowley Snowdrops from a Curate’s Garden 22,"The diminutive size of my meat-skewer baffled all the attempts of my fiery-arsed nurse, for her well-worn snatch-blatch could receive no gratification from anything smaller than a village pump-handle."
lance of love,1904,,A. Crowley Snowdrops from a Curate’s Garden 22,[I was] the sole representative of my cloth who was able to support a child weighing fifty-six pounds on my erect lance-of-love alone.
Julius Caesar,1904,,A. Crowley Snowdrops from a Curate’s Garden 22,"She shot off my well-oiled plenipo and was immediately split up from the fork to the shoulders by the giant callibistris of Lord R...y, whose affection for a buttered bun is only equalled by the size of his Julius Caesar."
jockum,1904,,A. Crowley Snowdrops from a Curate’s Garden 21,"My anus [...] attained such proportions, or rather elasticity, that I believe I could accommodate the cow-catcher of a Pacific Express, or crush the life out of the diminutive and tapering jockam of a centipede."
doodle,1904,,A. Crowley Snowdrops from a Curate’s Garden 21,I was hardly laid in my father’s arms before his doodle was between my baby legs and jerking its creamy essence into the sunny air of Rome.
gully-raker,1904,,A. Crowley Snowdrops from a Curate’s Garden 20,"Your gallimaufry is as sore as my gully-raker will be when you’ve clapped me, and pissing is like passing red-hot needles, and the stricture holds my fuck back till the crisis nearly blows its top off."
butcherknife,1904,,A. Crowley Snowdrops from a Curate’s Garden 18,He [...] plunged his straining and kicking butter-knife within the hole thus formed. The foaming guts closed round his maddened member.
dagger,1900,,A. Cairene Sixfold Sensuality 8,He immediately pushed his dagger into her sheath.
gun,1900,,A. Cairene Sixfold Sensuality 66,Ethel wanted to be shot again so catching hold of his gun she began rubbing it.
dolly,1900,,A. Cairene Sixfold Sensuality 21,She at once jumped on top of him and guided his dolly into her milk-can [Ibid.] 74: The Abbé [...] would not withdraw his dolly until it was sick and vomited in Ella’s brown sugar basin.
handle,1900,,A. Cairene Sixfold Sensuality 13,He rubbed some spit on the handle of his belly and some on the bum in front of him.
joint,1660,,A Mayden heade’ in Furnivall & Hales Bishop Percy’s Folio Manuscript of Loose and Humorous Songs (1868) 111,"See how the little Phillipp Sparrow, / whose ioynts doe ouer-fflow with marrow, / on yonder bough how he doth proue / with his make (mace, a wife) the ioyes of loue."
yard,1699,,A great & famous scoldling-match 6,"Sure you have forgot since the Taylor of Spittle-fields made you a Loose boddied Gown, and when he brought it home, put in a Yard more than your Husband allow‘d of."
pen,1660,,A Creature ffor ffeature’ in Furnivall & Hales Bishop Percy’s Folio Manuscript of Loose and Humorous Songs (1868) 54,"Alas, I cold not raise! [...] his inke was run, his pen was done."
ranger,1785,,[author pseudonym] ‘Roger Ranger’ Covent Garden Jester.,
ballocks,1582,,(con. 13th cent.) A. Bartholomaeus De proprietatibus rerum 61,"Ye ballock stones, that are called Tefticuli in Latine, the diminutiue of Testis witnesse."
piece,1837,,""" in Rum Ti Tum! in Spedding & Watt (eds) Bawdy Songbooks (2011) III 161","I scarce could stop from her [i.e. a whore] a day, / Her charms had stole my peace away."
spout,1798,,‘Zodiac’ in Hilaria 118,"An Italian castato’s cut-down aqueduct, / A mere spout for a watering pan."
bag,1798,,‘Zodiac’ in Hilaria 115,"Sign Aries, then maids, is your ram or lew’d tup / A rich pond’rous bag ’twixt his legs."
wedge,1720,,‘Young Collin’ in Farmer Merry Songs and Ballads (1897) IV 260,"Young Collin [...] told his Wife who the Cause would know, / That Hem made the Wedge much further go."
cock,1879,,‘Young Beginners’ Pearl 4 Oct. 17,"When she was drying me, she began tickling my little cockey."
thing,1731,,"‘You Fair, Who Play Tricks’ in Farmer Merry Songs and Ballads (1897) V 197","And for G--’s sake take care to grease well the Machine. / For your Thing is so stiff, and my Hole is so small."
machine,1731,,"‘You Fair, Who Play Tricks’ in Farmer Merry Songs and Ballads (1897) V 197","And for G--’s sake take care to grease well the Machine. / For your Thing is so stiff, and my Hole is so small."
doodle,1864,,‘Yarhoo Doodle’ in Rakish Rhymer (1917) 61,A snake took it into his head / To bite off his skinny doodle.
nob,1837,,‘Wry-Mouth Bob And His Jolly Red Nob’ in Cuckold’s Nest 45,"Wry-mouth Bob had a jolly red nob, / In a place – but you all know where."
tool,1837,,‘Wry-Mouth Bob & His Jolly Red Nob’ Cuckold’s Nest 45,"So wry-mouth Bob, for doing a job / For the fair sex, was well known. / How their leather he beat, with a tool so sweet, / And they relished his large lap-stone."
thing,1691,,‘Womens Delight’ in Ebsworth Merry Drollery Compleat (1875) 46,"And ever she cry’d, O turn, / O turn thee unto me, / Thou has the thing I have not, / A little above the knee."
key,1841,,‘Woman’s Dial’ in Gentleman’s Spicey Songster 6,"Ruth’s lock was a trouble, for, feeling an itch / That no key she could get would come up to the pitch."
fescue,1672,,‘Will the Merry Weaver’ in Pepys Ballads (1987) III 132,"I gave her a Fescue in her hand, And bid her use it her command. She said you best know where it should be, Come put it to my A.B.C."
gristle,1707,,‘When the Sheep were Shearing’ in Farmer Merry Songs and Ballads (1897) IV 196,"Poor Doll grew Melancholy, / The Grist went by her Mill."
rod,1620,,‘When Scortching Phoebus’ in Farmer Merry Songs and Ballads (1897) IV 40,"Tho you be gaudye, & I be baudye / & wand a rodd!"
instrument,1837,,‘What Will You Do When I Get You In Bed’ Ticklish Minstrel 16,With that long instrument and its ruby nose so red?
nutmegs,1700,,‘West-Country Frolick’ in Pepys Ballads (1987) V 161,"[A] poor fumbling Elf, That has no precious Nutmegs to please a young Bride."
cods,1834,,"‘We Did, What’s a Very Naughty Name’ in Flash Minstrel! in Spedding & Watt (eds) Bawdy Songbooks (2011) I 124","If a customer pass, / I vhips round my ass, / And shews ’em a fine pair of cods!"
love staff,1890,,‘Walter’ My Secret Life in Mills (1983) 273,"To the bed they went where side by side she fondled his love staff, then he mounted her."
nail,1888,,‘Walter’ My Secret Life (1996) II 390,"‘Look, it’s getting bigger, I did not think it would be so big, - don’t hurt me with your nail sir please,’ said she, frigging away clumsily, and when it was stiff leaving off, but looking earnestly at my pego."
cunt-stretcher,1888,,‘Walter’ My Secret Life (1966) X 2019,"The biggest of the two pricks did not however nearly come up in size, to that titanic cunt stretcher which Sarah F**z*r enabled me to see through the peephole at the baudy house."
John Thomas,1888,,‘Walter’ My Secret Life (1966) VIII 1690,"‘John Thomas,’ the procreator, poker, pego, penis, of the male."
doings,1888,,‘Walter’ My Secret Life (1966) VIII 1599,Whose eyes I could see had been glancing at my doddle and my doings.
spindle,1888,,‘Walter’ My Secret Life (1966) VIII 1559,The split and the spindle shewed the difference in the sexes.
cunt plugger,1888,,‘Walter’ My Secret Life (1966) VIII 1557,"The sperm running out on to my balls, as my cunt plugger slowly left her. [Ibid.] IX 1758: Then we went up to bed to revel in cunt plugging and a jolly evening and night that was."
purse,1888,,‘Walter’ My Secret Life (1966) VIII 1550,My mind wandered to his prick and what Sarah called his purse.
stretcher,1888,,‘Walter’ My Secret Life (1966) VIII 1532,Some said that they loved to see and handle big ones. None said that such stretchers gave them more physical pleasure than those of moderate size.
tail,1888,,‘Walter’ My Secret Life (1966) VII 1455,"Every woman is immodest enough to show her own tail, and feel a man’s tail at times."
rammer,1888,,‘Walter’ My Secret Life (1966) VII 1313,"Taking her gloved hand, I put it round it. How smooth the kid felt to my sensitive rammer. [Ibid.] 1321: Up she got, leaving me on the sofa, with my pulsating, crimson tipped, cunt-rammer out."
meat,1888,,‘Walter’ My Secret Life (1966) VII 1308,"A fresh bit of meat up her cunt, put in on the sly [...] is a treat few can refuse themselves."
ball-bag,1888,,‘Walter’ My Secret Life (1966) VI 1261,My balls stuck to her buttocks [...] so much had our spendings spread over bum and ball bag.
spouter,1888,,‘Walter’ My Secret Life (1966) VI 1252,"Then laying hold of my spouter she gently led me to the bed by it. [Ibid.] VIII 1561: His red tipped, white stemmed sperm spouter."
one,1888,,‘Walter’ My Secret Life (1966) VI 1242,"Perhaps he ain’t got one to do it with, Polly."
gristle,1888,,‘Walter’ My Secret Life (1966) VI 1229,"Again to have that bit of stiff male gristle, poking and plunging up and down the cunt."
egg,1888,,‘Walter’ My Secret Life (1966) V 959,"It contains two stones called also testicles, which feel from the outside about the size of bantams’ eggs, and some people call them their eggs."
poker,1888,,‘Walter’ My Secret Life (1966) V 1051,"‘You’ve not spent,’ said I still up her. ‘Sure and I haven’t, and I ought wid such a poker.’."
truncheon,1888,,‘Walter’ My Secret Life (1966) IX 1766,I pulled out my red tipped truncheon.
love truncheon,1888,,‘Walter’ My Secret Life (1966) IX 1739,"How soft and smooth, tho solid and stiff, yet semi-elastic is the male love truncheon."
cunt-stopper,1888,,‘Walter’ My Secret Life (1966) IV 820,"Many a woman will say, ‘no, no,’ till she sees the red-tipped cunt-stopper ready."
persuader,1888,,‘Walter’ My Secret Life (1966) IV 743,"She was inexperienced, but her belief in the size of my persuader improved."
belling,1888,,‘Walter’ My Secret Life (1966) IV 720,How randy I was as I felt my belling pressing against those two stupendous globes.
cod,1888,,‘Walter’ My Secret Life (1966) III 632,"I fell back, and pulled balls and cod well out of my trowsers."
stiff stander,1888,,‘Walter’ My Secret Life (1966) III 629,I had meant to have ready a stiff-stander when she came back.
tallywag,1888,,‘Walter’ My Secret Life (1966) III 500,"They stopped as they came on the man, who turning round shook his tooleywag at them."
generating tool,1888,,‘Walter’ My Secret Life (1966) II 370,I began talking to her [...] on the subjection of generation and its working tools.
sugar-stick,1888,,‘Walter’ My Secret Life (1966) II 314,Remarking that it was a pity such a nice young girl should not taste the sugar-stick.
peg,1888,,‘Walter’ My Secret Life (1966) II 304,"I held her on my peg, grasping her bum."
pego,1888,,‘Walter’ My Secret Life (1966) II 294,Her cunt stuck tight and full with my pego.
knob,1888,,‘Walter’ My Secret Life (1966) I 67,"The next instant something seemed to tighten round its knob, another furious thrust, — another, — and a sharp cry of pain. [Ibid.] II 242: For two days afterwards, that funny sense of fullness came over my cock-knob, then the tingling, then the desire for cunt."
ballocks,1888,,‘Walter’ My Secret Life (1966) I 63,"Attempting to put my hand up her clothes, sometimes succeeding, pulling out my ballocks, and never ceasing until the cook came home."
doodle,1888,,‘Walter’ My Secret Life (1966) I 49,"She put her hand outside my trowsers, gave my doodle a gentle pinch, and kissed me."
machine,1888,,‘Walter’ My Secret Life (1966) I 36,Then I began to have cock-stands and suppose a pleasurable feeling about the machine.
cucumber,1888,,‘Walter’ My Secret Life (1966) I 207,"When you have satisfied your eye, your finger, and your cucumber, and seen blood on it, you may be sure you have had one [i.e. a virgin] — and not otherwise."
cods,1888,,‘Walter’ My Secret Life (1966) I 162,"Pull your cods about well, and I warrant Harriet will look as long as she can."
cock,1888,,‘Walter’ My Secret Life (1966) I 13,"She kissed me, got out my cock, and played with it."
pipe,1888,,‘Walter’ My Secret Life (1966) I 107,"Just as I pulled out, her cunt closed round my prick with a strong muscular action, as if it did not wish the warm pipe withdrawn."
it,1890,,‘Wake at Kildare’ in Bold (1979) 234,"He stuffed her up with whiskey and he stuffed her up with cake, / And he stuffed it up wee Nellie coming home from the wake."
dagger,1896,,‘Voluptuous Night’ in Cabinet of Venus 47,How delicious to feel their soft compressive rubbing against my dagger.
whim-wham,1681,,‘Unfortunate Jack’ in R. Thompson Pepys’ Penny Merriments (1976) 227,[His] breeches ’twixt his legs were torn his whim-whams they hung out.
cat,1680,,‘Tryal of Skill’ in Pepys Ballads (1987) IV 303,You would have made her your Harlot ... You wanted a Bit for your Cat.
bow,1468,,‘Trial of Joseph and Mary’ Coventry Mysteries (1841) 136,A cockoldeis bowe is eche nyght bent. He that shett the bolt is lyke to be schent.
bayonet,1798,,‘Toy’ in Hilaria 95,"Nell chambermaid next crept up stairs, / Saw the ensign on a table, / The captain charging ’twixt his legs, / With bayonet so able."
prick,1698,,‘Tom Tinker’ in Farmer Merry Songs and Ballads (1897) I 173,"At his first denial I felt very sick, / And he said it was all for a touch of his ---."
chitterling,1675,,‘Tom Farthing’ in Chappell Roxburghe Ballads (1874) II 447,"Rivel’d up like Chitterlin, Thou’rt sometimes out and, sometimes in And all thou dost’s not worth a pin."
Adam's dagger,1836,,‘Toasts’ in New Cockalorum Songster in Spedding & Watt (eds) Bawdy Songbooks (2011) II 30,Adam’s dagger and the case to put it in.
purse,1836,,‘Toasts’ in Gentleman’s Private Songster in Spedding & Watt (eds) Bawdy Songbooks (2011) III 383,Sentiments and Toasts [...] May he never have an empty purses who spends freely on the ladies.
article,1842,,‘Toasts And Sentiments’ in Nobby Songster 48,May we always be able to insert a long article in the Ladies mag.
